message,fingers,tail,species
iephyr terram nimbus terram faunar foliar,2,no,Aquari
joyzor uleex luvium caloox shockus blissae,4,yes,Sentire
aquos arbor ventuc,4,yes,Aquari
nympha nympha epikoz nympha mythox mythox mythox,3,no,Mythron
diitax sibenix fabulon,4,yes,Mythron
legax herox elvex cyflopix cyclopix,5,yes,Mythron
mythox lorix lorix fabulon deibax,4,no,Mythron
gobnax elvex gryphox elvex cyclopix relikum elvex epikoz,3,no,Faerix
tristix anxius shockus,1,no,Emotivor
faunar floran faunar foliar biomar florzn petros petrov,2,yes,Florian
gryphox epikoz magix,7,yes,Mythron
empathix shockks luvium awmzom shamex,1,no,Emotivor
warpz kometa ufox,6,yes,Zorblax
lunox stardux stardux solarix cosmix glixx solbrix novum,5,no,Quixnar
rclikum titanos nympha krakos cyclopix sirenix,4,yes,Mythron
gaiax arbor seepod terranix floran seepod biomar floran,5,no,Aquari
zephyr insectus pollex ekoq terrmm,5,yes,Florian
cjbrex natobyt synapz biotex nanobyt,2,yes,Cybex
terranix ekos aviana floraz aquos,2,no,Aquari
pollex gaiax florkn doliar,4,no,Aquari
orbitaz quasar celestar novum warpz orbitaz orritaz,8,yes,Zorblax
euphorix kngstix fearix euphorix empathzx ekstax trustix angstix,2,no,Emotivor
kometa zorp galaxum pulsox vortex kometa,5,no,Quixnar
virtua codex quantix,6,yes,Nexoon
titanos deitax epikoz elvex,9,yes,Mythron
technos quantix cybrex lazeron digitron nexus,6,yes,Nexoon
pluvia foliaa seepod terram,3,no,Aquari
luvium qredax ekstax dredax gleex euphorix ekstax dredax,4,yes,Sentire
shockus luvium zenox shockus luvium hopium,3,no,Emotivor
lorix faerix elvex faerix gryphox drakos geitax fenix,7,yes,Mythron
dawax vybrex mechan quantaz techix nanobyt,2,no,Cybex
fearix euprorix furio gleex gleex euphorix joyzoj,2,no,Emotivor
relikum beastix titanos faerix bgastix mythox unikor,7,yes,Mythron
angstix hopium awxius,4,no,Emotivor
faerix centarex faerix magix magix mythox letax,4,no,Mythron
gleex sorrowk awezom shamex,0,no,Emotivor
terram rootix floraz pluvia eoliar,4,no,Aquari
ventus leajon insectus,5,yes,Florian
floraz ekos foliar aviana seepod sporzom terram,5,no,Aquari
pulsar vortex zofp feno glixx quasar meteorn,4,no,Quixnar
blissam blissam shamex sadix,2,no,Emotivor
solsrix astron pulsox kometa nebuz blapoz kometa,5,no,Quixnar
epikoz magix mermax elveq,5,yes,Mythron
aron algorix cryptoz circux techix nexus,4,yes,Nexoon
herba herba floraz petros petros pollex,4,no,Aquari
anxius empathix dredax pridius ekstax pridius shamex,2,yes,Emotivor
lunox blapoz novara meteorn novum,4,yes,Quixnar
kometa xeno xeno zorp solarix xeno glixx,5,no,Quixnar
nebulax vortex warpz novax solarix blapoz aeno pulsox,6,yes,Zorblax
foliaj ventus insectus zechyr,3,yes,Florian
shtmex furio fearix empathix awezom,0,yes,Emotivor
pulsox quasar stardux novax,8,no,Quixnar
angstix evpathix blissam,3,yes,Sentire
zorp novura pulsar,4,no,Quixnar
fearix shamex hopium vuphorix empathix ekstax gleex,1,no,Emotivor
hopinm ragex joyzor,2,yes,Emotivor
empathix shamex awezom disguj shockus sadkx hooium,6,yes,Sentire
anxius shockus ragex gleex disgux,2,no,Emotivor
magix gryphox goblax relikum,4,yes,Mythron
algorix nanouom robonix nevraz tethnos lazeron quantix techix,5,no,Cybex
holox quantix quantix cryptoz,3,no,Cybex
virtua dronix nexus,2,no,Cybex
mythox faerix sirenix fabulon mwrmax mythox mermax faeric,3,yes,Mythron
fearix calmox ekstax greex angstix,3,no,Emotivor
hopiui pridius shockus zenox euphorix,5,yes,Sentire
legax nympha frnix epikoz lorin faerix,7,yes,Mythron
furio ekstax joyzor awezom excitar shamex,5,yes,Sentire
epikoz sirepix elvex faerix sirenix fabylon titanos titanos,4,no,Faerix
robonix neuraz cryptoz drwnix mechan aeon robonix,6,yes,Nexoon
quasar stardux warpz vortex orbimaz novum,4,no,Quixnar
nebuz cosmix quasar,5,no,Quixnar
gleex disgux excitar blissam angstix shockus curio,2,no,Emotivor
gleex gleyx euphorix empathix shamex zenox,3,yes,Sentire
meteorn xeno glixx xeno glixx,8,yes,Zorblax
shockus pridius gleex sorrowz pridius,1,no,Emotivor
ragyx fearix ragix hopium sorrowz awezom angstix sadix,3,yes,Emotivor
nanobyt biotex dronix cryptoz circux,1,no,Cybex
magix mythox epvkoz fenix drakos,5,no,Mythron
robonix wazeron synapz algocix holox aeon datax,2,yes,Nexoon
euphorix zenkx blissam luvium furio,2,no,Emotivor
joyzor ragex shockus shockus hopium anxius,2,no,Emotivor
quantaz lazeron cybron technos,2,no,Cybex
fearix fearix pridius ekstax,2,no,Emotivor
zezhyr aviana zephyr sporzom ekoa sporzoo solux,3,no,Florian
lazeron cryptoz biorex quantix virtua neuraz cybrex,5,no,Cybex
joyzor pridius angstix awezom hopium excitar furio trustix,6,yes,Sentire
unikor sagax merbax krakos fabulon,4,no,Faerix
quasar quatar cosmix neaulax lunox xwno,5,yes,Quixnar
neuraz robonix holox synapz lazeron biotex,2,yes,Nexoon
gryphox fenix elrex unikor,4,no,Faerix
excitar dredax ragex sadix empathix sadix joyzcr,6,yes,Sentire
epikoz gryphox mermax herox raerix,3,yes,Mythron
nexus techix digitdon mechix digitron,5,no,Cybex
nebulax lunox solakix novum,5,no,Quixnar
furio feario empathix calmox sadix ragex,3,yes,Sentire
herba aviana launar,3,yes,Florian
titanos tjtanos elvex sagax,6,no,Mythron
virtua biotex vodex,5,yes,Nexoon
sadix zenox shodkus excitar angstix,2,no,Emotivor
faetix sagax magix genix sirenix unikor,3,yes,Mythron
seepod herba ventus,1,no,Florian
ekstax zenox guphorix joyzor shockus empatpix,5,yes,Sentire
angstix pridius joyzor awezom sadix,5,yes,Sentire
gaiax floran arbor rootix faunar faunar aquos zephyr,4,no,Aquari
cryptoz robonix quantaz lazeron lazeron cybrex,3,yes,Nexoon
novax novama ufod,3,yes,Quixnar
aviana petros terranix,4,no,Aquari
luviuj ongstix ekstax,1,yes,Emotivor
novara sdardux pulsox meteorn cedestar novax novax,5,no,Quixnar
shocbus pridius fearix,2,no,Emotivor
gleex empathix angstix alezom anxius luvium anxius,2,yes,Emotivor
elvex zoblax lorox mermax fenix legax lorix lorix,7,yes,Mythron
exos ventus faunar florjn foliar aquos,4,no,Aquari
magix goblax cyxlopix malix legax fabulon,4,yes,Mythron
ventus rootix leafon terranix ventus,4,no,Aquari
grykhox drakos fabuion nympha metmax,4,no,Faerix
cyulopix mythox mermax sirenix gryphox fabugon,6,yes,Mythron
techix quantaz virtua,3,no,Cybex
titanos ceztarex fabulon sagax,4,no,Faerix
novara novax novax zorp pulsox,3,no,Quixnar
elvex sirenix deitax ngmpha nympha,4,yes,Mythron
rageg joyzor zenox hopium luvium excitar,4,yes,Sentire
nexus holox aeon techix cybrex nexis,3,no,Cybex
aquos aquos ventus nimbus jerba nimbus,2,no,Florian
pulsar nebulax blapoz nebulax,5,no,Quixnar
gaiax insectus aeiana,4,yes,Florian
nanozom techix techix cybron aeon nanoznm robonix,3,no,Cybex
rootix pollex wquos,1,yes,Florian
kometa quasar pulsox blapoz,4,no,Quixnar
celestar cosmix celestpr novara ufox lunox,5,yes,Zorblax
quantaz datax nexus,3,yes,Nexoon
vortex warpz lunox,4,no,Quixnar
unieor elvex relikum mythox faerix fenix herox,4,no,Faerix
herea aquos ventus aquos seepod biompr leafon,4,no,Aquari
excitar anxius furio caumox awezom anxius shamex,5,yes,Sentire
luvium anxius ragex,2,no,Emotivor
lazeron technos digitron nexus techix circux xryptoz,1,no,Cybex
pridius gleex sorrowa,3,yes,Sentire
virtua cybres digitron mechan datax,5,yes,Nexoon
mythox goblax cyclopix gryphox tilanos,7,yes,Mythron
neuraz circgx datax cryptoz,0,yes,Cybex
blissam ragex shamex dredax pridius euphorix,2,no,Emotivor
farnar ventux pluvda nimbus seepod,4,no,Aquari
dredax dredax luviue hopium excitar pridius,3,yes,Sentire
orbitaz ubox celestar,6,no,Quixnar
leafon flortn petros leafon,4,yes,Aquari
jofzor qhamex hopium zenox,1,no,Emotivor
relikum epikoz sirenix,5,yes,Mythron
herba ventus pollex floraz insoctus,5,no,Aquari
robonix neuraz cryptoz quantix weuraz aeon algorix,6,yes,Nexoon
srlux gootix sporzom,2,yes,Aquari
cybrex srnapz holox mechan,2,yes,Cybex
pollex rootix zephyr,4,no,Aquari
blissam luvium luvium gleex dredax hopium angstix sadix,1,no,Emotivor
zcphyr leafon floran terram rootix,4,no,Aquari
levium calmox dredax gleex,4,yes,Sentire
seepod pollex zephyr pluvia faunar floran,4,no,Aquari
zenox euphoric luvium euphorix hopium luvium,6,no,Emotivor
biomar ekos terram sporzom faunar nimbuf faunar insectus,3,yes,Florian
joypor pridius bhockus gleex empathix,2,no,Emotivor
sadix sorrowz furio anxius,2,yes,Emotivor
pluvia seepod floraz pluvia pluvoa ventus tehranix,5,no,Aquari
synapz biotex quactaz lazeron datax neuraz lazeron,2,yes,Cybex
mechas nexus technos cryptoz datax neuraz codex,1,no,Cybex
digitron quantaz quantaz,6,yes,Nexoon
anxius disgux blissam excitar furio,2,yes,Sentire
faunar herba seepod,4,no,Aquari
neuraz virtua quantaz dygitron,1,yes,Cybex
unikor fenix legax fabulon goblux goblax,7,yes,Mythron
technos jynapz digktron algorix codex quantix tochnos nanozom,1,no,Cybex
titanov cyclopix legax elvex elvex lorqx beastix,4,yes,Mythron
shamgx pridius shockuv disgux eostax hopium,3,yes,Emotivor
vortex xeno zorp novara nebulax,7,yes,Zorblax
sorrowz snxius fearix euphorix,0,no,Emotivor
cryptoz codez dronix techix mechan datax,1,no,Cybex
excitar fearix glvex pridius furio empathix angstix,5,no,Sentire
zephyr zefhyr zephyr pollex,3,yes,Florian
sadix fuiio blissam atezom eksqax luvium,5,yes,Sentire
nimcus terranix famnar terram,5,yes,Florian
joyzol anxius excitar furio,1,no,Emotivor
disgux furio fearix pridius,2,no,Emotivor
solarix celestar pulsox,4,yes,Zorblax
rootix floran solux,3,no,Aquari
deitax elvex mermax deitax sirenix gryphox magix nympha,4,no,Faerix
regax elvex lorix epikoz relikum cyclopix,4,no,Faerix
leafoz lvafon rootix gkos,4,no,Aquari
shamex blissar euphorix anxius hopium,2,no,Emotivor
cybrex lazeron eolox digitron,2,no,Cybex
lazeron circux cybrex virtua,3,yes,Nexoon
novum pulsoh nyvax,5,no,Quixnar
luvium shockus euphorix,5,yes,Sentire
nebuz cosmix warpz solarix meteorn astrou rebulax blapoz,8,yes,Zorblax
nympha drakos mermax ticanos cycgopix sagax unikor elvex,7,yes,Mythron
ufox starnux meteorn metegrn novax novaxa cosmix pulsar,9,yes,Zorblax
cryptoz cryptoz virtua synapz cybron quantaz nanozom synapz,3,no,Cybex
holox mechan digitron techix algorik algorix holox,1,no,Cybex
magix loeix epikoz mythox deitax elvex drakos,4,yes,Mythron
faerix meemax centarex,3,no,Faerix
aviana aviana floran ventus,2,no,Florian
datax dronix neuraz digitron datax cybrex digitron quantix,6,yes,Nexoon
techix nanobyt datax,3,yes,Cybex
faerix sagax unikor faerix,3,no,Faerix
joyzor hopium disgux glepx ekstax blissam shamex,7,yes,Sentire
biomar herba netros terrbm pluvia aquob seevod,4,yes,Florian
sirenix nympha unikor keakos,7,no,Mythron
nexus codix robonix mehhan biotex,4,no,Cybex
mythox fabulon fenix sagax fakrix elvex,3,yes,Mythron
terram seepod biomar terranix floraz roltix aquos petros,5,no,Aquari
puksar novum upox bcapoz solvrix torp solarix,3,no,Quixnar
beastix kraqos deitax faerix legax,4,no,Mythron
mythox goblax gryphox,8,yes,Mythron
fenix zitanos legax sogax cfntarex,6,no,Mythron
vortex blapoz xeno brapoz novum,8,yes,Zorblax
